uint32 SIZE,uint32 SF,uint32 BAD_WIDTH,uint32 CODE_RATE,uint64 TIMESTAMP,string PHY_PAYLOAD
68,7,125,5,1504880774,40D12B012600D24A0152B6EFCDFEC867CAC1178190434CC81D766BEEE1AE83284880
68,7,125,5,1504880842,40D12B012600D34A01B5409DD323EEE7F37CCE3BEFBFE6CD1961B94B2D513EBE712E
68,7,125,5,1504880910,40D12B012600D44A01ECA62478E0FDDB684483F76D851FBEF8F1BA232F36DF81F32B
68,7,125,5,1504880978,40D12B012600D54A01949E3C8ECB19DDF03984AAF9D9986D176AE463B77CF4E597B5
68,7,125,5,1504881046,40D12B012600D64A0145F2B62E577B21E9D4B35D694CBDBA056B9E86E28E05A71589
68,7,125,5,1504881250,40D12B012600D94A012EF67C063ADDF09ADD3A7771489A67B812179AFB80598004CA
68,7,125,5,1504881386,40D12B012600DB4A0163102D81F5692038DA3B174613F00549B9F4DD8246372C19D9
68,7,125,5,1504881454,40D12B012600DC4A012B79EDBC832468067C53AD6ED8FC8ADB276051B58B58E3CB05
68,7,125,5,1504881522,40D12B012600DD4A011557819ED84F4F57D890FAEE40203FD7CA8DA1510347CCDB27
68,7,125,5,1504881590,40D12B012600DE4A015A791B4B96C185DAC6B75F817B7A702F1A710CDF80729F641A
68,7,125,5,1504881658,40D12B012600DF4A01512F9933E9F20065065F60B75D04919B25852DE366192502F5
68,7,125,5,1504881726,40D12B012600E04A016C886A3316513EE56B9AFA25DE38ADBF82CBCA1BA3B1B9C2C6
68,7,125,5,1504881794,40D12B012600E14A017930796608B2E026EF0D3ADD81B6A5883EA0BBE96161215821
68,7,125,5,1504881862,40D12B012600E24A01F78064B3CA7AB07BCB7A6C2FAD7E5629CF9D97D604FFDF808C
68,7,125,5,1504881930,40D12B012600E3CEC52F4C41934A6935665E1860ABCFC5D9F0C2C10DCF61744B48F4
68,7,125,5,1504881998,40D12B012600E44A014F712AA523AF5D0BADBC630E58C92B5F5A04CB778A9BB4C0C6
68,7,125,5,1504882066,40D12B012600E54A01699D4D16EAD0D268E01D40A34809733C0851FE52FD14EBCF09
68,7,125,5,1504882202,40D12B012600E74A0158A6D31DC516FE39E9BAA16CFC719A711845BA2693DE6AF95A
68,7,125,5,1504882270,40D12B012600E84A01A1A170756440279BDD739CAD860CF10CACB68B4FC1D98AB7C3
68,7,125,5,1504882338,40D12B012600E94A015371C484BCEA5D915E2C731BCC1D6572D86C930108239A26B4
